Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706509757,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1706509758,10,,Aggregated,0.000000,0.000000,130,130,140,150,150,150,150,150,150,150,150,10,2,120.0,107.708157199977,38.32580899961613,150.16309299971908,26252.7
1706509759,20,,Aggregated,0.000000,0.000000,130,150,160,170,210,220,230,230,230,230,230,21,6,130.0,127.8838554761543,38.32580899961613,233.31794000023365,30841.85714285714
1706509760,30,,Aggregated,10.000000,2.000000,120,150,160,170,200,220,230,230,230,230,230,37,9,120.0,116.50512189181747,27.253762999862374,233.31794000023365,27725.54054054054
1706509761,40,,Aggregated,10.500000,3.000000,120,150,170,170,210,220,230,230,230,230,230,54,15,120.0,115.08693290732953,15.789786999448552,233.31794000023365,28685.314814814814
1706509762,50,,Aggregated,12.000000,3.000000,100,140,160,170,200,220,230,230,230,230,230,74,23,95,108.23052204050082,15.789786999448552,233.31794000023365,29237.094594594593
1706509763,60,,Aggregated,13.000000,3.750000,88,140,160,170,200,210,220,230,230,230,230,101,32,88,104.61823653463173,15.056157999424613,233.31794000023365,28681.178217821784
1706509764,70,,Aggregated,14.400000,4.600000,84,130,150,160,190,210,220,230,230,230,230,127,35,84,99.84766206297371,15.056157999424613,233.31794000023365,26029.409448818897
1706509765,80,,Aggregated,16.333333,5.000000,79,130,150,160,200,210,230,250,260,260,260,160,43,78,98.01407361873089,9.111894999477954,260.54765499975474,26388.09375
1706509766,90,,Aggregated,17.857143,4.857143,83,130,150,160,200,220,250,270,310,310,310,192,50,83,101.4026136979093,9.111894999477954,312.2538719999284,26435.4375
1706509767,100,,Aggregated,19.500000,5.375000,75,110,140,150,200,220,250,260,310,310,310,225,52,75,94.41948358665185,9.111894999477954,312.2538719999284,26366.862222222222
1706509768,110,,Aggregated,20.555556,5.555556,69,110,140,160,200,220,250,270,310,310,310,268,57,69,92.61711515297853,9.111894999477954,312.2538719999284,25420.003731343284
1706509769,120,,Aggregated,22.400000,5.200000,75,120,150,160,210,240,290,300,310,310,310,318,64,73,98.14180354715349,9.111894999477954,312.2538719999284,25104.64465408805
1706509770,130,,Aggregated,25.500000,5.500000,86,140,170,190,240,310,380,510,540,540,540,356,66,85,117.59811181458942,9.111894999477954,544.6856170001411,24665.157303370786
1706509771,140,,Aggregated,29.400000,5.800000,99,160,190,210,300,370,520,540,570,570,570,413,73,99,135.48825120580074,8.947382999394904,568.9021540001704,24147.82324455206
1706509772,150,,Aggregated,31.000000,5.700000,97,150,180,200,290,370,510,540,570,570,570,456,79,97,131.36368174340723,8.947382999394904,568.9021540001704,23767.622807017542
1706509773,160,,Aggregated,35.300000,5.800000,100,150,180,200,280,350,500,530,570,570,570,516,87,100.0,131.25821404844814,8.947382999394904,568.9021540001704,23738.19379844961
1706509774,170,,Aggregated,37.400000,5.600000,100,150,180,200,270,340,500,530,570,570,570,576,93,100.0,130.14772013716293,8.947382999394904,568.9021540001704,23247.604166666668
1706509775,180,,Aggregated,40.500000,5.600000,94,140,170,190,260,330,500,530,570,570,570,641,96,94,123.36257773323918,8.947382999394904,568.9021540001704,22590.645865834635
1706509776,190,,Aggregated,44.100000,5.900000,96,140,170,190,260,320,460,530,570,570,570,704,100,96,123.83455707813292,8.947382999394904,568.9021540001704,22352.86505681818
1706509777,200,,Aggregated,47.000000,5.300000,98,140,170,190,250,310,420,530,570,570,570,761,104,98,124.8995540394362,8.947382999394904,568.9021540001704,22452.006570302234
1706509778,210,,Aggregated,50.300000,5.000000,110,150,190,210,290,400,530,570,660,660,660,818,107,110.0,140.56930874940437,8.947382999394904,663.305995999508,22281.358190709045
1706509779,220,,Aggregated,52.600000,5.200000,120,170,210,230,350,530,680,850,960,960,960,869,113,120.0,165.16400158229285,8.947382999394904,964.207575000728,22083.495972382047
1706509780,230,,Aggregated,54.300000,5.000000,130,190,240,290,480,700,880,970,1200,1200,1200,933,115,130.0,198.77123536657245,8.947382999394904,1155.853119999847,21829.906752411574
1706509781,240,,Aggregated,54.300000,4.900000,140,210,290,360,640,840,1100,1200,1600,1600,1600,991,120,140.0,237.07167437740614,8.947382999394904,1573.4412609999708,21826.540867810294
1706509782,250,,Aggregated,57.100000,4.800000,150,230,350,470,760,1100,1500,1700,1900,1900,1900,1050,125,150.0,287.997397709536,8.947382999394904,1924.935125999582,21770.071428571428
1706509783,260,,Aggregated,57.300000,4.700000,160,260,430,600,850,1300,1700,1900,2000,2000,2000,1104,132,160.0,329.6530809547203,8.947382999394904,2049.8305420005636,21878.44927536232
1706509784,270,,Aggregated,58.900000,4.600000,170,320,570,670,1100,1500,2000,2100,2200,2200,2200,1166,134,170.0,386.1914442950391,8.947382999394904,2239.6593820003545,21686.960548885076
1706509785,280,,Aggregated,59.100000,4.600000,190,390,650,780,1300,1700,2200,2200,2600,2600,2600,1223,138,190.0,437.7178157931427,8.947382999394904,2605.2770520000195,21718.52003270646
1706509786,290,,Aggregated,58.400000,3.900000,210,500,740,860,1500,1900,2300,2600,2700,2700,2700,1288,140,200.0,500.8299592096366,8.947382999394904,2709.081431999948,21509.44798136646
1706509787,300,,Aggregated,58.200000,4.100000,220,610,820,930,1700,2000,2600,2700,2800,2800,2800,1348,141,220.0,559.5927903345785,8.947382999394904,2828.2559959998252,21260.54896142433
1706509788,310,,Aggregated,58.400000,3.800000,240,660,890,1100,1900,2200,2700,2900,3000,3000,3000,1407,143,240.0,616.3242462338417,8.947382999394904,3038.668466000672,21167.85856432125
1706509789,320,,Aggregated,58.400000,3.600000,270,750,980,1200,1900,2300,2800,3000,3200,3200,3200,1467,150,270.0,667.207473937297,8.947382999394904,3214.97767999972,21299.580095432855
1706509790,330,,Aggregated,58.700000,3.600000,310,820,1100,1300,2100,2500,2900,3200,3600,3600,3600,1528,156,310.0,724.7354255301143,8.947382999394904,3612.421949000236,21296.390706806284
1706509791,340,,Aggregated,59.600000,3.700000,370,890,1300,1400,2200,2600,3200,3400,3700,3800,3800,1594,158,370.0,790.2795299629959,8.947382999394904,3759.1126779998376,21156.702634880803
1706509792,350,,Aggregated,59.400000,4.200000,420,960,1300,1600,2400,2800,3400,3800,3800,3900,3900,1653,160,420.0,849.5751064488919,8.947382999394904,3893.682679000449,21104.140350877195
1706509793,360,,Aggregated,60.000000,3.800000,510,1100,1300,1700,2500,2900,3700,3800,4000,4000,4000,1716,163,510.0,906.8134622243707,8.947382999394904,4023.9210749996346,21048.12703962704
1706509794,370,,Aggregated,60.600000,3.500000,610,1200,1400,1900,2600,3100,3800,4000,4100,4200,4200,1778,168,610.0,963.4747900556953,8.947382999394904,4218.417574999876,21010.28683914511
1706509795,380,,Aggregated,60.500000,3.100000,650,1300,1600,1900,2700,3300,4000,4200,4300,4300,4300,1837,172,650.0,1020.2987878976746,8.947382999394904,4306.868452000344,21012.408818726184
1706509796,390,,Aggregated,61.000000,3.500000,700,1300,1700,2000,2800,3400,4100,4300,4600,4600,4600,1896,174,700.0,1076.2924620427373,8.947382999394904,4644.963671999903,20990.800632911392
1706509797,400,,Aggregated,61.400000,3.500000,760,1300,1700,2100,2900,3700,4200,4600,4900,4900,4900,1948,178,760.0,1123.5174444507368,8.947382999394904,4863.41026700029,21076.964579055442
1706509798,410,,Aggregated,60.600000,3.600000,810,1400,1800,2200,3000,3800,4300,4700,5100,5200,5200,2008,182,810.0,1185.2818107679445,8.947382999394904,5180.260427000576,21012.1015936255
1706509799,420,,Aggregated,60.200000,3.600000,860,1500,1900,2400,3300,3900,4600,5200,5500,5500,5500,2065,182,860.0,1256.758498193723,8.947382999394904,5472.084955000355,20824.958837772396
1706509800,430,,Aggregated,60.000000,3.500000,890,1600,2000,2500,3400,4000,5000,5300,5600,5700,5700,2121,187,890.0,1312.4405771419356,8.947382999394904,5742.386861000341,20885.237152286656
1706509801,440,,Aggregated,59.500000,3.200000,970,1700,2200,2600,3600,4200,5200,5600,6100,6100,6100,2186,193,970.0,1387.845813802399,8.947382999394904,6132.126180999876,20879.094236047575
1706509802,450,,Aggregated,59.400000,3.000000,1000,1800,2300,2600,3800,4500,5500,6000,6400,6500,6500,2245,197,1000.0,1463.0558769608222,8.947382999394904,6451.354415999958,20817.636080178174
1706509803,460,,Aggregated,58.900000,3.400000,1100,1900,2400,2700,3900,4600,5600,6200,6400,6500,6500,2302,202,1100.0,1522.250386834947,8.947382999394904,6476.065468000343,20881.894439617725
1706509804,470,,Aggregated,58.800000,3.700000,1200,1900,2400,2700,4000,4700,6100,6400,6800,6900,6900,2359,206,1200.0,1589.742420820283,8.947382999394904,6855.294609000339,20870.14243323442
1706509805,480,,Aggregated,58.700000,3.900000,1300,2100,2500,2800,4300,5000,6300,6800,7000,7000,7000,2420,210,1300.0,1660.7624757314234,8.947382999394904,6987.60228699939,20829.553305785124
1706509806,490,,Aggregated,58.100000,3.900000,1300,2200,2500,2900,4500,5100,6500,6800,7300,7300,7300,2484,215,1300.0,1727.9900835318226,8.947382999394904,7282.7063670001735,20823.745169082125
1706509807,500,,Aggregated,58.000000,3.800000,1300,2300,2600,3100,4600,5300,6800,7000,7400,7500,7500,2552,218,1300.0,1799.216861146569,8.947382999394904,7498.940643999958,20831.514498432603
1706509808,510,,Aggregated,58.400000,4.000000,1400,2300,2700,3200,4700,5600,7000,7300,7500,7500,7500,2612,222,1400.0,1863.5935830984095,8.947382999394904,7498.940643999958,20873.2067381317
1706509809,520,,Aggregated,59.700000,4.200000,1400,2400,2700,3400,4700,5900,7100,7400,7500,7500,7500,2671,227,1400.0,1923.3573426458402,8.947382999394904,7549.837810000099,20872.06626731561
1706509810,530,,Aggregated,59.700000,4.300000,1600,2400,2700,3500,4900,6200,7300,7400,7700,7700,7700,2737,231,1600.0,1992.2376530113397,8.947382999394904,7722.987572999955,20844.624040920717
1706509811,540,,Aggregated,60.200000,4.500000,1600,2500,2800,3600,5000,6300,7400,7500,7800,7900,7900,2792,239,1600.0,2041.6592524018772,8.947382999394904,7925.626234000447,20933.819126074497
1706509812,550,,Aggregated,61.400000,4.400000,1700,2600,2900,3800,5100,6400,7400,7700,8000,8100,8100,2859,240,1700.0,2107.6894507929496,8.947382999394904,8067.848939999749,20889.48478488982
1706509813,560,,Aggregated,60.800000,4.600000,1700,2600,3000,3900,5200,6700,7500,7900,8200,8200,8200,2923,242,1700.0,2169.401116438263,8.947382999394904,8189.388134000183,20898.664728019157
1706509814,570,,Aggregated,60.700000,4.200000,1800,2600,3100,4000,5400,6800,7700,8000,8500,8500,8500,2982,243,1800.0,2231.6908781106754,8.947382999394904,8467.007156999898,20829.502682763246
1706509815,580,,Aggregated,61.600000,3.800000,1900,2600,3300,4200,5400,7000,7900,8300,8700,8700,8700,3040,247,1900.0,2302.9637383625113,8.947382999394904,8738.118575000044,20754.007894736842
1706509816,590,,Aggregated,61.700000,3.600000,1900,2700,3400,4400,5600,7300,8000,8600,8700,8700,8700,3105,251,1900.0,2373.5803372798828,8.947382999394904,8738.118575000044,20677.79033816425
1706509817,600,,Aggregated,61.800000,3.700000,2000,2800,3500,4500,5900,7300,8100,8600,8900,9000,9000,3168,258,2000.0,2430.71699910165,8.947382999394904,9004.806457000086,20743.20707070707
1706509818,610,,Aggregated,62.000000,3.700000,2100,2800,3700,4600,6000,7300,8300,8600,9500,9500,9500,3232,264,2100.0,2492.3359086751334,8.947382999394904,9535.541607999221,20758.9474009901
1706509819,620,,Aggregated,61.600000,4.000000,2200,2900,3800,4700,6100,7400,8500,8800,9700,9800,9800,3289,269,2200.0,2551.458604463373,8.947382999394904,9791.139838000163,20816.311644876863
1706509820,630,,Aggregated,61.800000,4.300000,2200,3000,3900,4700,6300,7400,8600,9400,9900,9900,9900,3355,272,2200.0,2619.6526012861523,8.947382999394904,9915.4047359998,20832.94694485842
1706509821,640,,Aggregated,61.900000,3.900000,2300,3200,3900,4700,6400,7500,8600,9600,10000,10000,10000,3413,276,2300.0,2672.1845469964974,8.947382999394904,10067.49399599994,20897.15206563141
1706509822,650,,Aggregated,61.100000,3.900000,2300,3200,4000,4900,6700,7500,8800,9800,10000,10000,10000,3470,281,2300.0,2732.861228078111,8.947382999394904,10445.724238000366,20906.13804034582
1706509823,660,,Aggregated,61.500000,3.700000,2400,3300,4200,5000,6800,7700,9500,10000,11000,11000,11000,3531,287,2400.0,2798.80264837781,8.947382999394904,10860.561328000585,20911.554800339847
1706509824,670,,Aggregated,61.500000,4.200000,2400,3400,4300,5100,6900,7800,9600,10000,11000,11000,11000,3590,290,2400.0,2859.2213887640764,8.947382999394904,10860.561328000585,20908.031754874653
1706509825,680,,Aggregated,60.900000,4.300000,2500,3500,4400,5200,7000,8000,9900,11000,11000,11000,11000,3652,292,2500.0,2934.980333866385,8.947382999394904,11048.255874999995,20832.64320920044
1706509826,690,,Aggregated,61.500000,4.500000,2500,3600,4500,5200,7300,8100,10000,11000,11000,11000,11000,3717,296,2500.0,3005.2180404388064,8.947382999394904,11359.79811299967,20848.10115684692
1706509827,700,,Aggregated,61.400000,4.400000,2600,3700,4600,5300,7400,8300,10000,11000,12000,12000,12000,3775,298,2600.0,3068.1213166161724,8.947382999394904,11740.027184999235,20824.707814569538
1706509828,710,,Aggregated,61.100000,4.400000,2600,3700,4700,5400,7400,8500,11000,11000,12000,12000,12000,3832,302,2600.0,3134.319195108313,8.947382999394904,11982.416698000634,20828.084551148226
1706509829,720,,Aggregated,60.600000,4.000000,2600,3800,4700,5400,7500,8600,11000,12000,12000,12000,12000,3889,307,2600.0,3208.5201060709846,8.947382999394904,12137.242531999618,20798.644124453585
